date,guest,female
Sunday 17 January 2016, Author and Commentator and Julia Hartley-Brewer,0
Sunday 10 January 2016,Papers reviewed by Tim Montgomerie and Ayesha Hazarika,0
Sunday 20 December 2015,Papers reviewed by Baroness Bakewell,0
Sunday 20 December 2015, John Nicolson MP,0
Sunday 20 December 2015, SNP and Suzanne Evans,0
Sunday 13 December 2015,Papers reviewed by Shami Chakrabarti,0
Sunday 13 December 2015, Andrew Pierce,0
Sunday 13 December 2015, The Daily Mail and Colleen Graffy,0
Sunday 06 December 2015,Papers reviewed by Polly Toynbee,0
Sunday 06 December 2015, Rohan Silva,0
Sunday 06 December 2015, Businessman and former advisor to George Osborne and Deborah Haynes,0
Sunday 29th November 2015,Papers reveiwed by Sarah Baxter,0
Sunday 29th November 2015, The Sunday Times and Helen Lewis,0
Sunday 22nd November 2015,Papers reviewed by Stephanie Flanders,0
Sunday 22nd November 2015, Paul Waugh,0
Sunday 22nd November 2015, Huffington Post UK and Stan Greenberg,0
Sunday 15th September 2015,Papers reviewed by  Frank Gardner,0
Sunday 15th September 2015, Amol Rajan,0
Sunday 15th September 2015, and Jane Moore,0
Sunday 8th November 2015,Papers reviewed by AA Gill,0
Sunday 8th November 2015, Isabel Hardman,0
Sunday 8th November 2015, The Spectator and Diane James MEP,0
Sunday 1st November 2015,Papers reviewed by Jess Phillips MP,0
Sunday 1st November 2015, Labour and Amanda Platell,0
Sunday 25th October 2015,Papers reviewed by Catherine Mayer,0
Sunday 25th October 2015, Journalist and Co-Founder Women’s Equality Party and Matthew D’Ancona,0
Sunday 18th October 2015,Papers reviewed by Gillian Tett,0
Sunday 18th October 2015, Financial Times and Peter Hitchen,0
Sunday 11th October 2015,Papers reviewed by Fraser Nelson,0
Sunday 11th October 2015, Editor of The Spectator and Susanna Mendonsa,0
Sunday 4th October 2015,Papers reviewed by Matthew Parris,0
Sunday 4th October 2015, The Times and Helen Lewis,0
Sunday 27th September 2015,Papers reviewed by Tom Newton-Dunn,0
Sunday 27th September 2015, The Sun and Ayesha Hazarika,0
Sunday 27th September 2015, Former Adviser to Harriet Harman MP,0
Sunday 20th September 2015,Papers reviewed by Damian McBride,0
Sunday 20th September 2015, Former Advisor to Gordon Brown and Julia Hartley-Brewer,0
Sunday 13th September 2015,Papers reviewed by Polly Toynbee,0
Sunday 13th September 2015, Jane Moore,0
Sunday 13th September 2015, Sun columnist and Ben Chacko,0
Sunday 6th September 2015,Papers reviewed by Christiane Amanpour,0
Sunday 6th September 2015, CNN’s Chief International Correspondent and Owen Jones,0
Sunday 26th July 2015,Papers reviewed by Sarah Sands,0
Sunday 26th July 2015, Editor of The Evening Standard and Sarah Smith,0
Sunday 19th July 2015,Papers reviewed by Dianne Abbott MP and Philip Collins,0
Sunday 12th July 2015,Papers reviewed by Gillian Tett,0
Sunday 12th July 2015, Financial Times and Kevin Maguire,0
Sunday 5th July 2015,Papers reviewed by Sarah Baxter of The Sunday Times and the BBC's political editor Nick Robinson,0
Sunday 28th June 2015,Papers reviewed by Stephanie Flanders,0
Sunday 28th June 2015, economist and  Amol Rajan,0
Sunday 21st June 2015,Papers reviewed by Andrew Roberts,0
Sunday 21st June 2015, Rupa Huq MP & Marina Prentoulis,0
Sunday 14th June 2015,Papers reviewed by John Nicholson MP and Shami Chakrabarti,0
Sunday 7th June 2015,Papers reviewed by historian Tom Holland and Sun columnist Jane Moore,0
Sunday 31st May 2015,Papers reviewed by David Aaronovitch – columnist,0
Sunday 31st May 2015, The Times and Amanda Platell – columnist,0
Sunday 24th May 2015,Papers reviewed by David Cameron's former director of strategy Steve Hilton and the commentator and royal biographer Catherine Meyer,0
Sunday 17th May 2015,Papers reviewed by Fraser Nelson,0
Sunday 17th May 2015, The Spectator and Zoe Williams,0
Sunday 10th May 2015,Papers reviewed by Times columnist Tim Montgomerie,0
Sunday 10th May 2015, deputy editor of New Statesman Helen Lewis and Liberal Democrat Baroness Grender,0
Sunday 3rd May 2015,Papers reviewed by Gaby Hinsliff,0
Sunday 3rd May 2015, Guardian columnist and Matthew Parris,0
Sunday 26th April 2015,Papers reviewed by Tom Newton Dunn,0
Sunday 26th April 2015, The Sun and Justine Roberts,0
Sunday 19th April 2015,Papers reviewed by Isabel Hardman,0
Sunday 19th April 2015, Journalist and Steve Richards,0
Sunday 12th April 2015,Papers reviewed by journalists Lesley Riddoch and Peter Hitchens,0
Sunday 29th March 2015,Papers reviewed by Rachel Johnson,0
Sunday 29th March 2015, columnist and Baroness Bakewell,0
Sunday 22nd March 2015,Papers reviewed by Anna Soubry MP,0
Sunday 22nd March 2015, Defence Mnister and Gloria de Piero MP,0
Sunday 15th March 2015,Papers reviewed by Jane Moore,0
Sunday 15th March 2015, columnist for The Sun and Kamal Ahmed,0
Sunday 8th March 2015,Amol Rajan,0
Sunday 8th March 2015, and Sarah Baxter,0
Sunday 1st March 2015,Alexander Downer,0
Sunday 1st March 2015, Margot James MP,0
Sunday 1st March 2015, Conservative and Bridget Kendall,0
Sunday 22nd February 2015,Alastair Campbell,0
Sunday 22nd February 2015, Writer and Labour strategist and Christiane Amanpour,0
Sunday 15th February 2015,Papers reviewed by Emma Barnett,0
Sunday 15th February 2015, Women's Editor for The Daily Telegraph and Anne McElvoy,0
Sunday 1st February 2015,Papers reviewed by Victoria Newton,0
Sunday 1st February 2015, Editor of The Sun on Sunday and Rory Bremner,0
Sunday 25th January 2015,Papers reviwed by Peter Hain MP,0
Sunday 25th January 2015, former Cabinet Minister and Stephanie Flanders,0
Sunday 25th January 2015, Chief Market Strategist for UK and Europe at JP Morgan Asset Management,0
Sunday 18th January 2015,Papers reviewed by Isabel Hardman,0
Sunday 18th January 2015, Assistant Editor of The Spectator and David Aaronovitch,0
